AE,AE,1117179
AE,AF,161618
AE,AG,5488
AE,AL,2101
AE,AM,3580
AE,AO,2326
AE,AT,4558
AE,AU,11931
AE,AW,3359
AE,AZ,2948
AE,BA,4792
AE,BB,3349
AE,BD,88757
AE,BE,4375
AE,BF,3603
AE,BG,2492
AE,BH,255056
AE,BI,14203
AE,BJ,5494
AE,BN,33017
AE,BS,4183
AE,BT,16748
AE,BW,3898
AE,BY,3559
AE,CA,13566
AE,CD,3815
AE,CF,7176
AE,CG,5201
AE,CH,6828
AE,CI,4175
AE,CM,47317
AE,CW,2947
AE,CY,27722
AE,DE,5178
AE,DJ,21054
AE,DK,4301
AE,DZ,3296
AE,EE,2793
AE,EG,40485
AE,ES,3543
AE,ET,138056
AE,FI,3102
AE,FJ,4257
AE,FM,3269
AE,FR,4320
AE,GA,6234
AE,GB,13775
AE,GD,3309
AE,GE,2998
AE,GH,36041
AE,GM,20084
AE,GN,8402
AE,GQ,16645
AE,GR,11261
AE,GU,19749
AE,GW,5271
AE,GY,3050
AE,HK,11489
AE,HR,3023
AE,HU,2121
AE,ID,4581
AE,IE,19662
AE,IM,12160
AE,IN,36329
AE,IS,4447
AE,IT,6228
AE,JE,11772
AE,JM,3718
AE,JO,59018
AE,JP,3520
AE,KE,22943
AE,KG,5344
AE,KM,10251
AE,KR,3160
AE,KW,139864
AE,KY,38058
AE,KZ,2306
AE,LB,85463
AE,LC,3846
AE,LK,66289
AE,LR,34308
AE,LT,2181
AE,LU,7886
AE,LV,2783
AE,LY,8465
AE,MA,12031
AE,MD,2778
AE,ME,6573
AE,MG,2933
AE,MK,5852
AE,ML,4466
AE,MO,21533
AE,MR,29444
AE,MT,30733
AE,MU,14615
AE,MV,78830
AE,MW,4583
AE,MY,13943
AE,MZ,2621
AE,NA,5605
AE,NE,5671
AE,NG,22605
AE,NL,4720
AE,NO,4876
AE,NP,108188
AE,NZ,14042
AE,OM,265165
AE,PG,2393
AE,PH,53588
AE,PK,160504
AE,PT,5690
AE,QA,295897
AE,RO,3768
AE,RS,7238
AE,RW,15677
AE,SA,141906
AE,SB,2038
AE,SC,54434
AE,SE,6753
AE,SG,28739
AE,SI,2715
AE,SL,62163
AE,SN,5759
AE,SR,2111
AE,SZ,3188
AE,TD,13507
AE,TG,14468
AE,TH,2584
AE,TJ,6842
AE,TN,10397
AE,TR,4802
AE,TT,3553
AE,TW,2650
AE,TZ,9269
AE,UA,2479
AE,UG,219939
AE,US,3616
AE,UZ,5155
AE,VC,2606
AE,YT,5184
AE,ZA,6344
AE,ZM,4398
AE,ZW,20620
AF,AE,161618
AF,AF,10520381
AF,AT,21301
AF,AU,6313
AF,AZ,4611
AF,BA,9756
AF,BD,4958
AF,BE,15272
AF,BH,8675
AF,BJ,2278
AF,BY,2578
AF,CA,4977
AF,CH,15858
AF,CY,4952
AF,DE,21491
AF,DK,5992
AF,DZ,4036
AF,EG,4359
AF,FI,6647
AF,FR,8733
AF,GB,6017
AF,GH,2646
AF,GM,3159
AF,GR,15118
AF,IE,3237
AF,IN,2354
AF,IS,3526
AF,JO,3143
AF,KE,2335
AF,KG,7073
AF,KW,23958
AF,KZ,7326
AF,LB,3906
AF,LR,3179
AF,LU,7830
AF,LY,3252
AF,MA,4257
AF,MR,2759
AF,MT,3268
AF,MV,3259
AF,NL,6547
AF,NO,8441
AF,NZ,2694
AF,OM,13084
AF,PH,2015
AF,PK,103063
AF,QA,17401
AF,RS,7319
AF,RW,2222
AF,SA,69823
AF,SE,17457
AF,SL,3534
AF,SN,2165
AF,TD,2196
AF,TJ,132527
AF,TN,2621
AF,TR,63572
AF,TZ,2156
AF,UA,2123
AF,UG,3496
AF,US,2308
AF,UZ,16193
AG,AE,5488
AG,AG,856956149
AG,AO,4539
AG,AT,3522
